date,month,hour,scc_pm,scc_ws,scc_wd2,iors_pm,iors_wd2,iors_ws,sma_se_pm,sma_se_o3,sma_se_no2,sma_se_co,sma_se_so2,sma_sw_pm,sma_sw_o3,sma_sw_no2,sma_sw_co,sma_sw_so2,sma_ne_pm,sma_ne_o3,sma_ne_no2,sma_ne_co,sma_ne_so2,sma_nw_pm,sma_nw_o3,sma_nw_no2,sma_nw_co,sma_nw_so2,sma_c_pm,sma_c_o3,sma_c_no2,sma_c_co,sma_c_so2,sma_c_pm_12aft
2015-06-17 14:00,0.454545455,0.565217391,0.177221418,0.051827421,0.571428571,0.041297935,0.428571429,0.317502668,0.131229236,0.493365501,0.09798995,0.142857143,0.101449275,0.195826645,0.451199201,0.218324982,0.180327869,0.131944444,0.139848812,0.485097636,0.095441595,0.14159292,0.077625571,0.143652561,0.364389234,0.204545455,0.13,0.105769231,0.191489362,0.467078189,0.172757475,0.178571429,0.195876289,18
2015-06-17 15:00,0.454545455,0.608695652,0.210347323,0.049135088,0.857142857,0.030973451,0.428571429,0.336846318,0.15282392,0.458986731,0.158291457,0.158730159,0.115942029,0.168539326,0.426715523,0.207110475,0.121584699,0.144675926,0.1587473,0.450154162,0.152421652,0.132743363,0.114155251,0.195991091,0.302277433,0.368181818,0.13,0.105769231,0.260047281,0.37654321,0.332225914,0.196428571,0.216494845,31
2015-06-17 16:00,0.454545455,0.652173913,0.185730825,0.093558592,0.857142857,0.017699115,0.428571429,0.344850587,0.167774086,0.344993969,0.354271357,0.222222222,0.086956522,0.093097913,0.307794803,0.340730136,0.178961749,0.144675926,0.200863931,0.372045221,0.311965812,0.203539823,0.105022831,0.138084633,0.248447205,0.275757576,0.16,0.076923077,0.24822695,0.300411523,0.392026578,0.214285714,0.195876289,29
2015-06-17 17:00,0.454545455,0.695652174,0.159898698,0.119135761,0.714285714,0.019174041,0.428571429,0.351965493,0.11627907,0.332328106,0.376884422,0.238095238,0.101449275,0.105136437,0.257661559,0.471009306,0.178961749,0.16087963,0.163066955,0.361767729,0.331908832,0.212389381,0.132420091,0.097995546,0.233954451,0.3,0.13,0.096153846,0.172576832,0.263374486,0.478405316,0.214285714,0.216494845,15.66666667
2015-06-17 18:00,0.454545455,0.739130435,0.171649783,0.168943932,0.714285714,0.02359882,0.428571429,0.286819637,0.174418605,0.364897467,0.391959799,0.333333333,0.275362319,0.274478331,0.33344437,0.511811024,0.401639344,0.354166667,0.173866091,0.335046249,0.401709402,0.230088496,0.150684932,0.153674833,0.209109731,0.427272727,0.22,0.096153846,0.205673759,0.216049383,0.588039867,0.267857143,0.278350515,19.33333333
2015-06-17 21:00,0.454545455,0.869565217,0.183400868,0.177694016,0.857142857,0.002949853,0.285714286,0.375088936,0.274086379,0.283474065,0.314070352,0.301587302,0.347826087,0.216693419,0.262491672,0.31567645,0.229508197,0.236111111,0.331533477,0.237410072,0.448717949,0.309734513,0.452054795,0.229398664,0.175983437,0.390909091,0.2,0.230769231,0.330969267,0.185185185,0.46179402,0.267857143,0.381443299,17.66666667
2015-06-17 22:00,0.454545455,0.913043478,0.182185239,0.164905432,0.857142857,0.008849558,0.285714286,0.332844184,0.272425249,0.194813028,0.309045226,0.26984127,0.362318841,0.214285714,0.176548967,0.361488905,0.221311475,0.236111111,0.273218143,0.178828366,0.374643875,0.265486726,0.415525114,0.249443207,0.155279503,0.306060606,0.16,0.192307692,0.307328605,0.133744856,0.425249169,0.267857143,0.360824742,20.66666667
2015-06-17 23:00,0.454545455,0.956521739,0.194138929,0.157501514,1,0.02359882,0.428571429,0.367307008,0.250830565,0.173100121,0.286432161,0.253968254,0.304347826,0.191813804,0.159560293,0.341445956,0.213114754,0.236111111,0.255939525,0.170606372,0.334757835,0.256637168,0.406392694,0.20935412,0.151138716,0.233333333,0.12,0.192307692,0.281323877,0.139917695,0.348837209,0.232142857,0.340206186,21
2015-06-18 0:00,0.454545455,1,0.177424023,0.098270176,0.857142857,0.03539823,0.428571429,0.344405905,0.215946844,0.193003619,0.206030151,0.238095238,0.130434783,0.206260032,0.148567622,0.287043665,0.221311475,0.194444444,0.280777538,0.164439877,0.283475783,0.247787611,0.251141553,0.189309577,0.161490683,0.218181818,0.1,0.153846154,0.288416076,0.166666667,0.295681063,0.196428571,0.257731959,18.5
2015-06-18 1:00,0.454545455,0,0.168002894,0.051827421,0.857142857,0.05899705,0.428571429,0.281038776,0.149501661,0.220144753,0.155778894,0.206349206,0.115942029,0.181219904,0.246502332,0.181102362,0.180327869,0.145833333,0.140604752,0.221993834,0.156695157,0.185840708,0.123287671,0.131403118,0.229813665,0.122727273,0.06,0.076923077,0.156028369,0.255144033,0.122923588,0.142857143,0.195876289,21.5
2015-06-18 3:00,0.454545455,0.086956522,0.194138929,0.088173925,0.857142857,0.008849558,0.285714286,0.287709,0.156146179,0.20747889,0.077889447,0.174603175,0.115942029,0.152006421,0.201532312,0.145311382,0.204918033,0.125,0.148668107,0.169578623,0.121082621,0.185840708,0.105022831,0.142538976,0.138716356,0.121212121,0.14,0.057692308,0.212765957,0.131687243,0.182724252,0.214285714,0.154639175,24.66666667
2015-06-18 4:00,0.454545455,0.130434783,0.202648336,0.095577842,0.714285714,0.008849558,0.285714286,0.316835646,0.062015504,0.231001206,0.042713568,0.111111111,0.101449275,0.143017657,0.220519654,0.105225483,0.155737705,0.131944444,0.137580994,0.201438849,0.079297246,0.132743363,0.114155251,0.13363029,0.14699793,0.084848485,0.1,0.057692308,0.19858156,0.199588477,0.089700997,0.160714286,0.134020619,28
2015-06-18 5:00,0.454545455,0.173913043,0.246410999,0.061923672,0.714285714,0.014749263,0.285714286,0.289710068,0.068106312,0.214716526,0.06281407,0.095238095,0.101449275,0.119422151,0.26449034,0.070866142,0.106557377,0.145833333,0.102051836,0.206577595,0.080959164,0.115044248,0.105022831,0.106904232,0.14699793,0.063636364,0.06,0.057692308,0.104018913,0.216049383,0.059800664,0.125,0.175257732,22.33333333
2015-06-18 6:00,0.454545455,0.217391304,0.21642547,0.06932759,0.857142857,0.057522124,0.285714286,0.294823906,0.07641196,0.193003619,0.092964824,0.095238095,0.115942029,0.076243981,0.246502332,0.11095204,0.114754098,0.138888889,0.100791937,0.182939363,0.129154796,0.10619469,0.105022831,0.084632517,0.15320911,0.113636364,0.04,0.057692308,0.130023641,0.197530864,0.112956811,0.107142857,0.175257732,22.33333333
